condition,mode,level,class_id,full,common
radar__evaluation__clean__none__aNone,clean,none,0,14264,9740
radar__evaluation__clean__none__aNone,clean,none,1,8197,1942
radar__evaluation__clean__none__aNone,clean,none,2,8076,42
radar__evaluation__clean__none__aNone,clean,none,3,8450,37
radar__evaluation__clean__none__aNone,clean,none,4,9855,151
radar__evaluation__clean__none__aNone,clean,none,5,14354,1363
radar__evaluation__clean__none__aNone,clean,none,6,4674,265
radar__evaluation__clean__none__aNone,clean,none,7,68695,62068
radar__evaluation__instance__moderate__a0,instance,moderate,0,14264,9740
radar__evaluation__instance__moderate__a0,instance,moderate,1,8197,1942
radar__evaluation__instance__moderate__a0,instance,moderate,2,8076,42
radar__evaluation__instance__moderate__a0,instance,moderate,3,8450,37
radar__evaluation__instance__moderate__a0,instance,moderate,4,9855,151
radar__evaluation__instance__moderate__a0,instance,moderate,5,14354,1363
radar__evaluation__instance__moderate__a0,instance,moderate,6,4674,265
radar__evaluation__instance__moderate__a0,instance,moderate,7,68695,62068
radar__evaluation__instance__moderate__a1,instance,moderate,0,14264,9740
radar__evaluation__instance__moderate__a1,instance,moderate,1,8197,1942
radar__evaluation__instance__moderate__a1,instance,moderate,2,8076,42
radar__evaluation__instance__moderate__a1,instance,moderate,3,8450,37
radar__evaluation__instance__moderate__a1,instance,moderate,4,9855,151
radar__evaluation__instance__moderate__a1,instance,moderate,5,14354,1363
radar__evaluation__instance__moderate__a1,instance,moderate,6,4674,265
radar__evaluation__instance__moderate__a1,instance,moderate,7,68695,62068
radar__evaluation__instance__moderate__a2,instance,moderate,0,14264,9740
radar__evaluation__instance__moderate__a2,instance,moderate,1,8197,1942
radar__evaluation__instance__moderate__a2,instance,moderate,2,8076,42
radar__evaluation__instance__moderate__a2,instance,moderate,3,8450,37
radar__evaluation__instance__moderate__a2,instance,moderate,4,9855,151
radar__evaluation__instance__moderate__a2,instance,moderate,5,14354,1363
radar__evaluation__instance__moderate__a2,instance,moderate,6,4674,265
radar__evaluation__instance__moderate__a2,instance,moderate,7,68695,62068
radar__evaluation__instance__moderate__a3,instance,moderate,0,14264,9740
radar__evaluation__instance__moderate__a3,instance,moderate,1,8197,1942
radar__evaluation__instance__moderate__a3,instance,moderate,2,8076,42
radar__evaluation__instance__moderate__a3,instance,moderate,3,8450,37
radar__evaluation__instance__moderate__a3,instance,moderate,4,9855,151
radar__evaluation__instance__moderate__a3,instance,moderate,5,14354,1363
radar__evaluation__instance__moderate__a3,instance,moderate,6,4674,265
radar__evaluation__instance__moderate__a3,instance,moderate,7,68695,62068
radar__evaluation__instance__moderate__a4,instance,moderate,0,14264,9740
radar__evaluation__instance__moderate__a4,instance,moderate,1,8197,1942
radar__evaluation__instance__moderate__a4,instance,moderate,2,8076,42
radar__evaluation__instance__moderate__a4,instance,moderate,3,8450,37
radar__evaluation__instance__moderate__a4,instance,moderate,4,9855,151
radar__evaluation__instance__moderate__a4,instance,moderate,5,14354,1363
radar__evaluation__instance__moderate__a4,instance,moderate,6,4674,265
radar__evaluation__instance__moderate__a4,instance,moderate,7,68695,62068
radar__evaluation__instance__severe__a0,instance,severe,0,14264,9740
radar__evaluation__instance__severe__a0,instance,severe,1,8197,1942
radar__evaluation__instance__severe__a0,instance,severe,2,8076,42
radar__evaluation__instance__severe__a0,instance,severe,3,8450,37
radar__evaluation__instance__severe__a0,instance,severe,4,9855,151
radar__evaluation__instance__severe__a0,instance,severe,5,14354,1363
radar__evaluation__instance__severe__a0,instance,severe,6,4674,265
radar__evaluation__instance__severe__a0,instance,severe,7,68695,62068
radar__evaluation__instance__severe__a1,instance,severe,0,14264,9740
radar__evaluation__instance__severe__a1,instance,severe,1,8197,1942
radar__evaluation__instance__severe__a1,instance,severe,2,8076,42
radar__evaluation__instance__severe__a1,instance,severe,3,8450,37
radar__evaluation__instance__severe__a1,instance,severe,4,9855,151
radar__evaluation__instance__severe__a1,instance,severe,5,14354,1363
radar__evaluation__instance__severe__a1,instance,severe,6,4674,265
radar__evaluation__instance__severe__a1,instance,severe,7,68695,62068
radar__evaluation__instance__severe__a2,instance,severe,0,14264,9740
radar__evaluation__instance__severe__a2,instance,severe,1,8197,1942
radar__evaluation__instance__severe__a2,instance,severe,2,8076,42
radar__evaluation__instance__severe__a2,instance,severe,3,8450,37
radar__evaluation__instance__severe__a2,instance,severe,4,9855,151
radar__evaluation__instance__severe__a2,instance,severe,5,14354,1363
radar__evaluation__instance__severe__a2,instance,severe,6,4674,265
radar__evaluation__instance__severe__a2,instance,severe,7,68695,62068
radar__evaluation__instance__severe__a3,instance,severe,0,14264,9740
radar__evaluation__instance__severe__a3,instance,severe,1,8197,1942
radar__evaluation__instance__severe__a3,instance,severe,2,8076,42
radar__evaluation__instance__severe__a3,instance,severe,3,8450,37
radar__evaluation__instance__severe__a3,instance,severe,4,9855,151
